,MLPClassifier,RandomForestClassifier,RandomForestClassifier(5_estimators),RandomForestClassifier(3_estimators),DecisionTreeClassifier(),SVM,KNeighborsClassifier(3),GaussianNB,KNeighborsClassifier(2),KNeighborsClassifier(5),BernoulliNB,KNeighborsClassifier(8)
MLPClassifier,-1.0,0.9998980603284173,0.770475583608264,6.777846541236734e-16,2.252848089330085e-15,1.3275242285942032e-09,0.0016023775419014646,3.707628256086649e-30,0.2055336857214722,0.02875095192457852,2.7343171213084846e-29,0.05949013588212347
RandomForestClassifier,0.9998980603284173,-1.0,0.9942873943829271,5.371103781037362e-12,1.5227334575347644e-11,1.1901581882846982e-06,0.05461844148789514,1.033382368453922e-24,0.7574157051047531,0.3141592746234108,6.327456134031547e-24,0.45418826023481773
RandomForestClassifier(5_estimators),0.770475583608264,0.9942873943829271,-1.0,4.114736569028998e-07,9.083863827070047e-07,0.00288620655972594,0.7450750458165496,2.0301669827040668e-17,0.9998679275504582,0.977830320415137,9.32020609713556e-17,0.9936096974044774
RandomForestClassifier(3_estimators),6.777846541236734e-16,5.371103781037362e-12,4.114736569028998e-07,-1.0,0.999999999999979,0.9859121245575647,0.05815788932896458,0.5697742032589821,0.00013945071599336987,0.00424368597457968,0.6608019328604513,0.0015475978842798377
DecisionTreeClassifier(),2.252848089330085e-15,1.5227334575347644e-11,9.083863827070047e-07,0.999999999999979,-1.0,0.9926867222073915,0.08153904947175201,0.492986795428242,0.0002584276366777895,0.006864626070410548,0.586136178152791,0.002616667380678479
SVM,1.3275242285942032e-09,1.1901581882846982e-06,0.00288620655972594,0.9859121245575647,0.9926867222073915,-1.0,0.8348002288071862,0.012163420450730239,0.08576827237767719,0.39870207002562197,0.02042850583824133,0.26688249083107535
KNeighborsClassifier(3),0.0016023775419014646,0.05461844148789514,0.7450750458165496,0.05815788932896458,0.08153904947175201,0.8348002288071862,-1.0,5.493873691078638e-08,0.9934453569343605,0.999991618558932,1.524946249404525e-07,0.9998620261581439
GaussianNB,3.707628256086649e-30,1.033382368453922e-24,2.0301669827040668e-17,0.5697742032589821,0.492986795428242,0.012163420450730239,5.493873691078638e-08,-1.0,3.1706035172920887e-13,1.8322546998197005e-10,0.999999999999823,2.5699509064581425e-11
KNeighborsClassifier(2),0.2055336857214722,0.7574157051047531,0.9998679275504582,0.00013945071599336987,0.0002584276366777895,0.08576827237767719,0.9934453569343605,3.1706035172920887e-13,-1.0,0.9999931609960898,1.195260164430815e-12,0.99999988857301
KNeighborsClassifier(5),0.02875095192457852,0.3141592746234108,0.977830320415137,0.00424368597457968,0.006864626070410548,0.39870207002562197,0.999991618558932,1.8322546998197005e-10,0.9999931609960898,-1.0,5.9445345962471e-10,0.9999999999661435
BernoulliNB,2.7343171213084846e-29,6.327456134031547e-24,9.32020609713556e-17,0.6608019328604513,0.586136178152791,0.02042850583824133,1.524946249404525e-07,0.999999999999823,1.195260164430815e-12,5.9445345962471e-10,-1.0,8.752971804624154e-11
KNeighborsClassifier(8),0.05949013588212347,0.45418826023481773,0.9936096974044774,0.0015475978842798377,0.002616667380678479,0.26688249083107535,0.9998620261581439,2.5699509064581425e-11,0.99999988857301,0.9999999999661435,8.752971804624154e-11,-1.0
