Metodo,Acuracia
GaussianNB,0.73
BernoulliNB,0.71
KNeighborsClassifier(2),0.6766666666666666
KNeighborsClassifier(3),0.63
KNeighborsClassifier(5),0.65
KNeighborsClassifier(8),0.6633333333333333
DecisionTreeClassifier(),0.7
RandomForestClassifier(3_estimators),0.68
RandomForestClassifier(5_estimators),0.7333333333333333
RandomForestClassifier,0.7566666666666667
SVM,0.7033333333333334
MLPClassifier,0.71
rand1,0.4866666666666667
rand2,0.5066666666666667
rand3,0.51
majoritario,0.7
minoritario,0.3
pessimo,0.0
otimo,1.0
